ARRIVAL_DATETIME,ORIGIN_AIRPORT,DESTINATION_AIRPORT,CANCELLATION_REASON,AIRLINE_DELAY
2015-01-01 11:00:00,DFW,ATL,Weather,
2015-01-01 15:00:00,DFW,ATL,Weather,
2015-01-02 14:00:00,BTR,ATL,Weather,
2015-01-02 17:00:00,BTR,ATL,Weather,
2015-01-03 10:00:00,MCI,ATL,Weather,
2015-01-03 11:00:00,MCI,ATL,Weather,
2015-01-03 12:00:00,VPS,ATL,Weather,
2015-01-03 12:00:00,ROA,ATL,Weather,
2015-01-03 20:00:00,BTR,ATL,Weather,
2015-01-03 20:00:00,HPN,ATL,Weather,
2015-01-03 19:00:00,TLH,ATL,Weather,
2015-01-03 19:00:00,ROA,ATL,Weather,
2015-01-03 22:00:00,HPN,ATL,Weather,
2015-01-04 08:00:00,BTR,ATL,Weather,
2015-01-04 18:00:00,CRW,ATL,Weather,
2015-01-06 09:00:00,PIA,ATL,Weather,
2015-01-06 09:00:00,BMI,ATL,Weather,
2015-01-06 09:00:00,MLI,ATL,Weather,
2015-01-06 10:00:00,SHV,ATL,Weather,
2015-01-06 11:00:00,DCA,ATL,Weather,
2015-01-06 13:00:00,PHL,ATL,Weather,
2015-01-06 13:00:00,BWI,ATL,Weather,
2015-01-06 15:00:00,EWR,ATL,Weather,
2015-01-07 19:00:00,ORD,ATL,Weather,
2015-01-08 11:00:00,MDW,ATL,Weather,
2015-01-08 18:00:00,MDW,ATL,Weather,
2015-01-08 21:00:00,MDW,ATL,Weather,
2015-01-09 15:00:00,LGA,ATL,Weather,
2015-01-10 10:00:00,GRK,ATL,Weather,
2015-01-10 10:00:00,AUS,ATL,Weather,
2015-01-12 08:00:00,DCA,ATL,Weather,
2015-01-12 09:00:00,PHL,ATL,Weather,
2015-01-12 09:00:00,SBN,ATL,Weather,
2015-01-12 13:00:00,ORD,ATL,Weather,
2015-01-12 13:00:00,ABY,ATL,Weather,
2015-01-12 16:00:00,LGA,ATL,Weather,
2015-01-12 17:00:00,TLH,ATL,Weather,
2015-01-12 18:00:00,PNS,ATL,Weather,
2015-01-12 19:00:00,ORD,ATL,Weather,
2015-01-12 18:00:00,CMH,ATL,Weather,
2015-01-12 19:00:00,BMI,ATL,Weather,
2015-01-12 20:00:00,SGF,ATL,Weather,
2015-01-12 19:00:00,VLD,ATL,Weather,
2015-01-12 21:00:00,PVD,ATL,Weather,
2015-01-12 21:00:00,PNS,ATL,Weather,
2015-01-13 08:00:00,VPS,ATL,Weather,
2015-01-13 07:00:00,SAV,ATL,Weather,
2015-01-13 07:00:00,VLD,ATL,Weather,
2015-01-13 07:00:00,ABY,ATL,Weather,
2015-01-13 08:00:00,EWN,ATL,Weather,
2015-01-13 08:00:00,SAV,ATL,Weather,
2015-01-13 09:00:00,ECP,ATL,Weather,
2015-01-13 09:00:00,CHS,ATL,Weather,
2015-01-13 10:00:00,VPS,ATL,Weather,
2015-01-13 09:00:00,GNV,ATL,Weather,
2015-01-13 10:00:00,CHS,ATL,Weather,
2015-01-14 08:00:00,DCA,ATL,Weather,
2015-01-14 08:00:00,OAJ,ATL,Weather,
2015-01-14 11:00:00,BWI,ATL,Weather,
2015-01-14 12:00:00,MCO,ATL,Weather,
2015-01-14 15:00:00,IAH,ATL,Weather,
2015-01-20 21:00:00,MDW,ATL,Weather,
2015-01-21 15:00:00,BWI,ATL,Weather,
2015-01-21 19:00:00,PHL,ATL,Weather,
2015-01-23 18:00:00,ROA,ATL,Weather,
2015-01-24 08:00:00,MGM,ATL,Weather,
2015-01-24 08:00:00,HPN,ATL,Weather,
2015-01-24 09:00:00,AVP,ATL,Weather,
2015-01-24 10:00:00,BDL,ATL,Weather,
2015-01-24 10:00:00,LGA,ATL,Weather,
2015-01-24 09:00:00,BWI,ATL,Weather,
2015-01-24 10:00:00,PHL,ATL,Weather,
2015-01-24 15:00:00,LGA,ATL,Weather,
2015-01-24 16:00:00,LGA,ATL,Weather,
2015-01-26 08:00:00,DCA,ATL,Weather,
2015-01-26 10:00:00,PHL,ATL,Weather,
2015-01-26 15:00:00,ORD,ATL,Weather,
2015-01-26 16:00:00,IAH,ATL,Weather,
2015-01-26 18:00:00,LGA,ATL,Weather,
2015-01-26 18:00:00,BDL,ATL,Weather,
2015-01-26 18:00:00,HPN,ATL,Weather,
2015-01-26 18:00:00,PHL,ATL,Weather,
2015-01-26 20:00:00,LGA,ATL,Weather,
2015-01-26 20:00:00,HPN,ATL,Weather,
2015-01-26 20:00:00,LGA,ATL,Weather,
2015-01-26 20:00:00,JFK,ATL,Weather,
2015-01-26 21:00:00,LGA,ATL,Weather,
2015-01-26 21:00:00,EWR,ATL,Weather,
2015-01-26 21:00:00,PVD,ATL,Weather,
2015-01-26 21:00:00,LGA,ATL,Weather,
2015-01-26 22:00:00,LGA,ATL,Weather,
2015-01-26 22:00:00,LGA,ATL,Weather,
2015-01-26 22:00:00,LGA,ATL,Weather,
2015-01-26 22:00:00,EWR,ATL,Weather,
2015-01-26 23:00:00,LGA,ATL,Weather,
2015-01-26 23:00:00,PHL,ATL,Weather,
2015-01-27 09:00:00,BDL,ATL,Weather,
2015-01-27 09:00:00,ALB,ATL,Weather,
2015-01-27 09:00:00,BOS,ATL,Weather,
2015-01-27 09:00:00,LGA,ATL,Weather,
2015-01-27 08:00:00,HPN,ATL,Weather,
2015-01-27 08:00:00,TTN,ATL,Weather,
2015-01-27 09:00:00,BOS,ATL,Weather,
2015-01-27 09:00:00,PHL,ATL,Weather,
2015-01-27 09:00:00,JFK,ATL,Weather,
2015-01-27 09:00:00,BDL,ATL,Weather,
2015-01-27 09:00:00,LGA,ATL,Weather,
2015-01-27 09:00:00,EWR,ATL,Weather,
2015-01-27 09:00:00,EWR,ATL,Weather,
2015-01-27 09:00:00,ABE,ATL,Weather,
2015-01-27 10:00:00,PVD,ATL,Weather,
2015-01-27 10:00:00,PWM,ATL,Weather,
2015-01-27 10:00:00,MHT,ATL,Weather,
2015-01-27 10:00:00,LGA,ATL,Weather,
2015-01-27 10:00:00,LGA,ATL,Weather,
2015-01-27 10:00:00,BOS,ATL,Weather,
2015-01-27 10:00:00,BDL,ATL,Weather,
2015-01-27 10:00:00,HPN,ATL,Weather,
2015-01-27 10:00:00,EWR,ATL,Weather,
2015-01-27 10:00:00,PHL,ATL,Weather,
2015-01-27 11:00:00,LGA,ATL,Weather,
2015-01-27 10:00:00,DCA,ATL,Weather,
2015-01-27 11:00:00,BOS,ATL,Weather,
2015-01-27 11:00:00,EWR,ATL,Weather,
2015-01-27 11:00:00,JFK,ATL,Weather,
2015-01-27 11:00:00,JFK,ATL,Weather,
2015-01-27 11:00:00,PHL,ATL,Weather,
2015-01-27 12:00:00,LGA,ATL,Weather,
2015-01-27 12:00:00,EWR,ATL,Weather,
2015-01-27 12:00:00,LGA,ATL,Weather,
2015-01-27 12:00:00,PHL,ATL,Weather,
2015-01-27 13:00:00,LGA,ATL,Weather,
2015-01-27 13:00:00,LGA,ATL,Weather,
2015-01-27 13:00:00,HPN,ATL,Weather,
2015-01-27 13:00:00,BDL,ATL,Weather,
2015-01-27 13:00:00,EWR,ATL,Weather,
2015-01-27 13:00:00,PHL,ATL,Weather,
2015-01-27 14:00:00,LGA,ATL,Weather,
2015-01-27 14:00:00,BOS,ATL,Weather,
2015-01-27 14:00:00,BOS,ATL,Weather,
2015-01-27 14:00:00,PHL,ATL,Weather,
2015-01-27 14:00:00,EWR,ATL,Weather,
2015-01-27 15:00:00,LGA,ATL,Weather,
2015-01-27 15:00:00,BOS,ATL,Weather,
2015-01-27 15:00:00,PVD,ATL,Weather,
2015-01-27 15:00:00,EWR,ATL,Weather,
2015-01-27 16:00:00,ALB,ATL,Weather,
2015-01-27 16:00:00,BDL,ATL,Weather,
2015-01-27 16:00:00,IAH,ATL,Weather,
2015-01-27 16:00:00,LGA,ATL,Weather,
2015-01-27 16:00:00,EWR,ATL,Weather,
2015-01-27 16:00:00,LGA,ATL,Weather,
2015-01-27 17:00:00,BOS,ATL,Weather,
2015-01-27 16:00:00,EWR,ATL,Weather,
2015-01-27 17:00:00,LGA,ATL,Weather,
2015-01-27 17:00:00,EWR,ATL,Weather,
2015-01-27 18:00:00,BOS,ATL,Weather,
2015-01-27 18:00:00,LGA,ATL,Weather,
2015-01-27 19:00:00,BOS,ATL,Weather,
2015-01-27 18:00:00,LGA,ATL,Weather,
2015-01-27 18:00:00,BDL,ATL,Weather,
2015-01-27 18:00:00,BDL,ATL,Weather,
2015-01-27 18:00:00,HPN,ATL,Weather,
2015-01-27 18:00:00,JFK,ATL,Weather,
2015-01-27 18:00:00,EWR,ATL,Weather,
2015-01-27 19:00:00,LGA,ATL,Weather,
2015-01-27 19:00:00,BOS,ATL,Weather,
2015-01-27 19:00:00,EWR,ATL,Weather,
2015-01-27 19:00:00,PHL,ATL,Weather,
2015-01-27 19:00:00,EWR,ATL,Weather,
2015-01-27 20:00:00,LGA,ATL,Weather,
2015-01-27 20:00:00,BOS,ATL,Weather,
2015-01-27 20:00:00,HPN,ATL,Weather,
2015-01-27 20:00:00,LGA,ATL,Weather,
2015-01-27 20:00:00,JFK,ATL,Weather,
2015-01-27 21:00:00,ALB,ATL,Weather,
2015-01-27 21:00:00,LGA,ATL,Weather,
2015-01-27 21:00:00,EWR,ATL,Weather,
2015-01-27 21:00:00,PVD,ATL,Weather,
2015-01-27 21:00:00,BDL,ATL,Weather,
2015-01-27 21:00:00,PHL,ATL,Weather,
2015-01-27 21:00:00,LGA,ATL,Weather,
2015-01-27 22:00:00,LGA,ATL,Weather,
2015-01-27 22:00:00,LGA,ATL,Weather,
2015-01-27 22:00:00,JFK,ATL,Weather,
2015-01-27 22:00:00,LGA,ATL,Weather,
2015-01-27 22:00:00,EWR,ATL,Weather,
2015-01-27 23:00:00,LGA,ATL,Weather,
2015-01-27 23:00:00,PHL,ATL,Weather,
2015-01-28 09:00:00,BDL,ATL,Weather,
2015-01-28 09:00:00,BOS,ATL,Weather,
2015-01-28 08:00:00,HPN,ATL,Weather,
2015-01-28 09:00:00,BOS,ATL,Weather,
2015-01-28 09:00:00,JFK,ATL,Weather,
2015-01-28 09:00:00,LGA,ATL,Weather,
2015-01-28 09:00:00,EWR,ATL,Weather,
2015-01-28 10:00:00,PWM,ATL,Weather,
2015-01-28 10:00:00,MHT,ATL,Weather,
2015-01-28 10:00:00,LGA,ATL,Weather,
2015-01-28 10:00:00,BOS,ATL,Weather,
2015-01-28 10:00:00,HPN,ATL,Weather,
2015-01-28 10:00:00,EWR,ATL,Weather,
2015-01-28 11:00:00,LGA,ATL,Weather,
2015-01-28 11:00:00,BOS,ATL,Weather,
2015-01-28 11:00:00,EWR,ATL,Weather,
2015-01-28 12:00:00,EWR,ATL,Weather,
2015-01-28 13:00:00,LGA,ATL,Weather,
2015-01-28 18:00:00,SFO,ATL,Weather,
2015-01-28 14:00:00,BOS,ATL,Weather,
2015-01-28 15:00:00,PVD,ATL,Weather,
2015-01-28 17:00:00,BOS,ATL,Weather,
2015-01-28 20:00:00,LGA,ATL,Weather,
2015-01-29 13:00:00,ORD,ATL,Weather,
2015-01-31 18:00:00,ASE,ATL,Weather,
2015-02-01 09:00:00,CID,ATL,Weather,
2015-02-01 11:00:00,MDW,ATL,Weather,
2015-02-01 12:00:00,ORD,ATL,Weather,
2015-02-01 13:00:00,ORD,ATL,Weather,
2015-02-01 13:00:00,MDW,ATL,Weather,
2015-02-01 14:00:00,ORD,ATL,Weather,
2015-02-01 14:00:00,MLI,ATL,Weather,
2015-02-01 14:00:00,MDW,ATL,Weather,
2015-02-01 14:00:00,BMI,ATL,Weather,
2015-02-01 15:00:00,DSM,ATL,Weather,
2015-02-01 14:00:00,DCA,ATL,Weather,
2015-02-01 16:00:00,MKE,ATL,Weather,
2015-02-01 17:00:00,MDW,ATL,Weather,
2015-02-01 17:00:00,CID,ATL,Weather,
2015-02-01 18:00:00,MKE,ATL,Weather,
2015-02-01 18:00:00,MDW,ATL,Weather,
2015-02-01 19:00:00,FWA,ATL,Weather,
2015-02-01 20:00:00,DSM,ATL,Weather,
2015-02-01 20:00:00,MDW,ATL,Weather,
2015-02-01 21:00:00,MDW,ATL,Weather,
2015-02-01 22:00:00,MDW,ATL,Weather,
2015-02-02 09:00:00,BDL,ATL,Weather,
2015-02-02 09:00:00,BOS,ATL,Weather,
2015-02-02 08:00:00,DTW,ATL,Weather,
2015-02-02 09:00:00,BOS,ATL,Weather,
2015-02-02 09:00:00,PHL,ATL,Weather,
2015-02-02 09:00:00,MKE,ATL,Weather,
2015-02-02 09:00:00,MDW,ATL,Weather,
2015-02-02 09:00:00,SBN,ATL,Weather,
2015-02-02 09:00:00,LGA,ATL,Weather,
2015-02-02 09:00:00,EWR,ATL,Weather,
2015-02-02 10:00:00,BOS,ATL,Weather,
2015-02-02 11:00:00,MDW,ATL,Weather,
2015-02-02 11:00:00,BOS,ATL,Weather,
2015-02-02 11:00:00,EWR,ATL,Weather,
2015-02-02 12:00:00,LGA,ATL,Weather,
2015-02-02 12:00:00,LGA,ATL,Weather,
2015-02-02 12:00:00,ORD,ATL,Weather,
2015-02-02 13:00:00,BOS,ATL,Weather,
2015-02-02 13:00:00,LGA,ATL,Weather,
2015-02-02 12:00:00,GSO,ATL,Weather,
2015-02-02 14:00:00,LGA,ATL,Weather,
2015-02-02 14:00:00,BOS,ATL,Weather,
2015-02-02 14:00:00,BOS,ATL,Weather,
2015-02-02 15:00:00,ORD,ATL,Weather,
2015-02-02 15:00:00,LGA,ATL,Weather,
2015-02-02 15:00:00,LGA,ATL,Weather,
2015-02-02 15:00:00,BOS,ATL,Weather,
2015-02-02 15:00:00,PVD,ATL,Weather,
2015-02-02 15:00:00,EWR,ATL,Weather,
2015-02-02 16:00:00,ORD,ATL,Weather,
2015-02-02 18:00:00,ASE,ATL,Weather,
2015-02-02 16:00:00,BDL,ATL,Weather,
2015-02-02 16:00:00,LGA,ATL,Weather,
2015-02-02 16:00:00,EWR,ATL,Weather,
2015-02-02 17:00:00,BOS,ATL,Weather,
2015-02-02 17:00:00,LGA,ATL,Weather,
2015-02-02 16:00:00,DCA,ATL,Weather,
2015-02-02 18:00:00,BOS,ATL,Weather,
2015-02-02 18:00:00,LGA,ATL,Weather,
2015-02-02 19:00:00,BOS,ATL,Weather,
2015-02-02 18:00:00,BDL,ATL,Weather,
2015-02-02 19:00:00,LGA,ATL,Weather,
2015-02-02 19:00:00,EWR,ATL,Weather,
2015-02-02 19:00:00,ORD,ATL,Weather,
2015-02-02 20:00:00,LGA,ATL,Weather,
2015-02-02 20:00:00,BOS,ATL,Weather,
2015-02-02 20:00:00,HPN,ATL,Weather,
2015-02-02 20:00:00,LGA,ATL,Weather,
2015-02-02 21:00:00,ALB,ATL,Weather,
2015-02-02 21:00:00,LGA,ATL,Weather,
2015-02-02 21:00:00,EWR,ATL,Weather,
2015-02-02 22:00:00,BOS,ATL,Weather,
2015-02-02 22:00:00,LGA,ATL,Weather,
2015-02-02 22:00:00,JFK,ATL,Weather,
2015-02-02 22:00:00,LGA,ATL,Weather,
2015-02-02 23:00:00,LGA,ATL,Weather,
2015-02-03 09:00:00,BOS,ATL,Weather,
2015-02-03 09:00:00,LGA,ATL,Weather,
2015-02-03 09:00:00,LGA,ATL,Weather,
2015-02-03 09:00:00,EWR,ATL,Weather,
2015-02-03 10:00:00,LGA,ATL,Weather,
2015-02-03 10:00:00,BOS,ATL,Weather,
2015-02-03 11:00:00,EWR,ATL,Weather,
2015-02-03 14:00:00,BOS,ATL,Weather,
2015-02-03 17:00:00,BOS,ATL,Weather,
2015-02-03 20:00:00,MDW,ATL,Weather,
2015-02-04 13:00:00,ORD,ATL,Weather,
2015-02-08 22:00:00,BOS,ATL,Weather,
2015-02-09 09:00:00,BDL,ATL,Weather,
2015-02-09 09:00:00,BOS,ATL,Weather,
2015-02-09 09:00:00,LGA,ATL,Weather,
2015-02-09 08:00:00,CAK,ATL,Weather,
2015-02-09 09:00:00,BTV,ATL,Weather,
2015-02-09 09:00:00,JFK,ATL,Weather,
2015-02-09 09:00:00,BDL,ATL,Weather,
2015-02-09 09:00:00,EWR,ATL,Weather,
2015-02-09 09:00:00,EWR,ATL,Weather,
2015-02-09 10:00:00,PVD,ATL,Weather,
2015-02-09 10:00:00,BOS,ATL,Weather,
2015-02-09 11:00:00,LGA,ATL,Weather,
2015-02-09 11:00:00,BOS,ATL,Weather,
2015-02-09 11:00:00,JFK,ATL,Weather,
2015-02-09 12:00:00,EWR,ATL,Weather,
2015-02-09 12:00:00,LGA,ATL,Weather,
2015-02-09 13:00:00,BOS,ATL,Weather,
2015-02-09 13:00:00,LGA,ATL,Weather,
2015-02-09 14:00:00,BOS,ATL,Weather,
2015-02-09 16:00:00,EWR,ATL,Weather,
2015-02-09 19:00:00,BOS,ATL,Weather,
2015-02-09 19:00:00,EWR,ATL,Weather,
2015-02-09 21:00:00,LGA,ATL,Weather,
2015-02-09 22:00:00,BOS,ATL,Weather,
2015-02-10 09:00:00,PHL,ATL,Weather,
2015-02-10 10:00:00,BOS,ATL,Weather,
2015-02-10 11:00:00,BOS,ATL,Weather,
2015-02-10 14:00:00,BOS,ATL,Weather,
2015-02-10 17:00:00,BOS,ATL,Weather,
2015-02-14 11:00:00,JFK,ATL,Weather,
2015-02-14 15:00:00,SBN,ATL,Weather,
2015-02-14 18:00:00,CRW,ATL,Weather,
2015-02-15 09:00:00,SYR,ATL,Weather,
2015-02-15 09:00:00,BOS,ATL,Weather,
2015-02-15 09:00:00,LGA,ATL,Weather,
2015-02-15 09:00:00,ROC,ATL,Weather,
2015-02-15 08:00:00,SBN,ATL,Weather,
2015-02-15 08:00:00,AVP,ATL,Weather,
2015-02-15 08:00:00,TTN,ATL,Weather,
2015-02-15 09:00:00,JFK,ATL,Weather,
2015-02-15 09:00:00,PHL,ATL,Weather,
2015-02-15 09:00:00,ABE,ATL,Weather,
2015-02-15 10:00:00,MHT,ATL,Weather,
2015-02-15 10:00:00,BDL,ATL,Weather,
2015-02-15 10:00:00,BOS,ATL,Weather,
2015-02-15 10:00:00,PWM,ATL,Weather,
2015-02-15 10:00:00,LGA,ATL,Weather,
2015-02-15 10:00:00,HPN,ATL,Weather,
2015-02-15 09:00:00,ROA,ATL,Weather,
2015-02-15 10:00:00,EWR,ATL,Weather,
2015-02-15 11:00:00,LGA,ATL,Weather,
2015-02-15 11:00:00,JFK,ATL,Weather,
2015-02-15 12:00:00,EWR,ATL,Weather,
2015-02-15 12:00:00,LGA,ATL,Weather,
2015-02-15 12:00:00,ORF,ATL,Weather,
2015-02-15 13:00:00,BOS,ATL,Weather,
2015-02-15 13:00:00,LGA,ATL,Weather,
2015-02-15 13:00:00,LGA,ATL,Weather,
2015-02-15 13:00:00,PHL,ATL,Weather,
2015-02-15 13:00:00,HPN,ATL,Weather,
2015-02-15 13:00:00,BDL,ATL,Weather,
2015-02-15 13:00:00,BWI,ATL,Weather,
2015-02-15 14:00:00,BOS,ATL,Weather,
2015-02-15 14:00:00,LGA,ATL,Weather,
2015-02-15 14:00:00,PVD,ATL,Weather,
2015-02-15 13:00:00,BWI,ATL,Weather,
2015-02-15 14:00:00,BOS,ATL,Weather,
2015-02-15 15:00:00,LGA,ATL,Weather,
2015-02-15 14:00:00,DCA,ATL,Weather,
2015-02-15 15:00:00,ORF,ATL,Weather,
2015-02-15 16:00:00,BDL,ATL,Weather,
2015-02-15 16:00:00,EWR,ATL,Weather,
2015-02-15 17:00:00,BOS,ATL,Weather,
2015-02-15 17:00:00,ORF,ATL,Weather,
2015-02-15 18:00:00,BOS,ATL,Weather,
2015-02-15 18:00:00,BDL,ATL,Weather,
2015-02-15 18:00:00,BDL,ATL,Weather,
2015-02-15 19:00:00,BOS,ATL,Weather,
2015-02-15 18:00:00,LGA,ATL,Weather,
2015-02-15 19:00:00,BOS,ATL,Weather,
2015-02-15 18:00:00,ORF,ATL,Weather,
2015-02-15 21:00:00,BOS,ATL,Weather,
2015-02-15 21:00:00,LGA,ATL,Weather,
2015-02-15 23:00:00,JFK,ATL,Weather,
2015-02-16 08:00:00,BNA,ATL,Weather,
2015-02-16 09:00:00,BDL,ATL,Weather,
2015-02-16 09:00:00,LIT,ATL,Weather,
2015-02-16 09:00:00,XNA,ATL,Weather,
2015-02-16 09:00:00,OKC,ATL,Weather,
2015-02-16 08:00:00,SDF,ATL,Weather,
2015-02-16 09:00:00,BOS,ATL,Weather,
2015-02-16 09:00:00,BNA,ATL,Weather,
2015-02-16 09:00:00,LGA,ATL,Weather,
2015-02-16 10:00:00,LIT,ATL,Weather,
2015-02-16 08:00:00,AVL,ATL,Weather,
2015-02-16 10:00:00,BNA,ATL,Weather,
2015-02-16 11:00:00,EWR,ATL,Weather,
2015-02-16 10:00:00,LEX,ATL,Weather,
2015-02-16 11:00:00,MEM,ATL,Weather,
2015-02-16 11:00:00,BNA,ATL,Weather,
2015-02-16 13:00:00,LIT,ATL,Weather,
2015-02-16 13:00:00,BNA,ATL,Weather,
2015-02-16 13:00:00,MEM,ATL,Weather,
2015-02-16 12:00:00,ROA,ATL,Weather,
2015-02-16 13:00:00,CRW,ATL,Weather,
2015-02-16 14:00:00,MEM,ATL,Weather,
2015-02-16 14:00:00,BNA,ATL,Weather,
2015-02-16 15:00:00,LIT,ATL,Weather,
2015-02-16 15:00:00,ROA,ATL,Weather,
2015-02-16 16:00:00,EWR,ATL,Weather,
2015-02-16 15:00:00,LEX,ATL,Weather,
2015-02-16 16:00:00,SDF,ATL,Weather,
2015-02-16 16:00:00,CRW,ATL,Weather,
2015-02-16 15:00:00,TYS,ATL,Weather,
2015-02-16 17:00:00,BNA,ATL,Weather,
2015-02-16 17:00:00,MEM,ATL,Weather,
2015-02-16 18:00:00,BNA,ATL,Weather,
2015-02-16 19:00:00,MEM,ATL,Weather,
2015-02-16 18:00:00,CRW,ATL,Weather,
2015-02-16 18:00:00,ROA,ATL,Weather,
2015-02-16 18:00:00,LEX,ATL,Weather,
2015-02-16 18:00:00,SDF,ATL,Weather,
2015-02-16 19:00:00,DCA,ATL,Weather,
2015-02-16 19:00:00,PHF,ATL,Weather,
2015-02-16 20:00:00,BNA,ATL,Weather,
2015-02-16 20:00:00,SDF,ATL,Weather,
2015-02-16 20:00:00,CLT,ATL,Weather,
2015-02-16 21:00:00,SDF,ATL,Weather,
2015-02-16 21:00:00,RDU,ATL,Weather,
2015-02-16 22:00:00,CLT,ATL,Weather,
2015-02-16 23:00:00,DCA,ATL,Weather,
2015-02-17 00:00:00,CLT,ATL,Weather,
2015-02-17 07:00:00,GSO,ATL,Weather,
2015-02-17 08:00:00,BNA,ATL,Weather,
2015-02-17 07:00:00,ORF,ATL,Weather,
2015-02-17 07:00:00,GSP,ATL,Weather,
2015-02-17 08:00:00,RIC,ATL,Weather,
2015-02-17 08:00:00,SDF,ATL,Weather,
2015-02-17 08:00:00,PHF,ATL,Weather,
